Unnamed: 0,ROUGE-N,ROUGE-L,F1,Response Length,Topsis_Score,Rank
microsoft/DialoGPT-small,0.135294115650519,0.0901960764348328,0.1363636363636363,6.8,0.9090101643386208,1
microsoft/DialoGPT-medium,0.1974025956296171,0.1506493488763704,0.1612121212121212,16.6,0.2634843032538693,3
gorkemgoknar/gpt2chatbotenglish,0.169444441541238,0.1361111082079047,0.148,24.0,0.1826865570714911,4
Vaibhav-rm/GPT2-Shri-v1,0.1571428554172335,0.1047619030362811,0.1571428571428571,4.4,0.7967971279494601,2
